epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,10513.5,1.47164,0.61295,0.97477,0.92557,0.8887,0.94415,0.49068,1.58762,0.60699,1.00636,0.0039115,0.0039115,0.0039115
125,10602.6,1.47874,0.61588,0.97942,0.92415,0.88921,0.94353,0.49069,1.58398,0.60848,1.00513,0.003862,0.003862,0.003862
126,10684.5,1.476,0.61639,0.97882,0.92318,0.88833,0.94228,0.49044,1.58601,0.60906,1.0059,0.0038125,0.0038125,0.0038125
127,10766.8,1.46857,0.6117,0.97727,0.92229,0.8874,0.94277,0.48734,1.59421,0.61065,1.00857,0.003763,0.003763,0.003763
128,10848.8,1.47539,0.61129,0.97618,0.9221,0.89341,0.94374,0.4893,1.58547,0.60561,1.00684,0.0037135,0.0037135,0.0037135
129,10931,1.47776,0.61391,0.97504,0.91954,0.89369,0.94428,0.49025,1.5863,0.60539,1.00664,0.003664,0.003664,0.003664
130,11013.1,1.46663,0.61165,0.97419,0.92526,0.88982,0.94429,0.49072,1.58661,0.603,1.00657,0.0036145,0.0036145,0.0036145
131,11095.3,1.46598,0.60903,0.97311,0.92459,0.88906,0.94349,0.48965,1.59082,0.60472,1.00883,0.003565,0.003565,0.003565
132,11177.4,1.46265,0.60966,0.977,0.92545,0.89001,0.94368,0.48887,1.59284,0.60443,1.00938,0.0035155,0.0035155,0.0035155
133,11259.6,1.4655,0.61005,0.97687,0.92779,0.89038,0.94472,0.48863,1.59322,0.60717,1.00962,0.003466,0.003466,0.003466
134,11342,1.46145,0.60761,0.97298,0.92383,0.8885,0.9437,0.48601,1.59986,0.60752,1.01153,0.0034165,0.0034165,0.0034165
135,11424.1,1.45664,0.60618,0.97464,0.92574,0.88822,0.94272,0.48611,1.59886,0.60875,1.0111,0.003367,0.003367,0.003367
136,11506.1,1.46293,0.60928,0.97383,0.92712,0.88756,0.94374,0.48597,1.59671,0.60939,1.01064,0.0033175,0.0033175,0.0033175
137,11587.9,1.46631,0.60835,0.97199,0.92444,0.88595,0.94314,0.48705,1.59586,0.60808,1.01071,0.003268,0.003268,0.003268
138,11669.9,1.45742,0.60411,0.97726,0.92179,0.89015,0.9442,0.48608,1.59889,0.60729,1.01143,0.0032185,0.0032185,0.0032185
139,11752,1.458,0.60415,0.97054,0.92431,0.88896,0.94361,0.48701,1.59679,0.60663,1.00923,0.003169,0.003169,0.003169
140,11834.2,1.45142,0.60068,0.97045,0.9242,0.89213,0.94448,0.49149,1.58126,0.60253,1.00479,0.0031195,0.0031195,0.0031195
141,11916.2,1.45221,0.60193,0.9712,0.92432,0.89124,0.944,0.49005,1.58982,0.60434,1.00754,0.00307,0.00307,0.00307
142,11998,1.45582,0.60282,0.97323,0.92818,0.89189,0.9455,0.48949,1.5935,0.60486,1.00821,0.0030205,0.0030205,0.0030205
143,12079.9,1.44821,0.60068,0.97105,0.92652,0.89164,0.94437,0.49019,1.58806,0.60305,1.00581,0.002971,0.002971,0.002971
144,12162.2,1.44919,0.60124,0.96838,0.92501,0.89327,0.94431,0.49274,1.58116,0.60075,1.00377,0.0029215,0.0029215,0.0029215
